gene,tractability_score,novelty_score,ot_sm_approved_drug,ot_sm_druggable_family,ot_sm_hq_pocket,ot_sm_struct_ligand,ot_drug_count,dgidb_n_drugs,dgidb_n_approved_drugs,chembl_target_id,chembl_n_potent,chembl_action_types,has_inhibitor_moa,uniprot_acc,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
NOM1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
UBL5,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PELP1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
VHL,0.8,0.0,False,False,False,True,0,28,16,CHEMBL3108660,230,,False,P40337,False,False,True,Cytoplasm;Cell membrane;Endoplasmic reticulum
RPS9,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6066893,1,,False,P46781,False,False,False,"Cytoplasm;Nucleus, nucleolus"
CDK7,1.0,0.0,False,True,True,True,9,42,3,CHEMBL3055,536,INHIBITOR,True,P50613,True,True,False,"Nucleus;Cytoplasm;Cytoplasm, perinuclear region"
PSMA2,0.0,0.0,False,False,False,False,0,7,5,CHEMBL6066935,1,,False,P25787,False,False,False,Cytoplasm;Nucleus
RPS15,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067561,1,,False,P62841,False,False,False,Cytoplasm
RPS11,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067557,2,,False,P62280,False,False,False,"Cytoplasm;Nucleus, nucleolus"
DHX33,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CLCC1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RRP12,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
