gene,glioma_mean,cohens_d,dep_fdr,glioma_dep_fraction,pan_ess_fraction,is_common_essential,archetype,sl_effect,sl_n_contexts,sl_best_context,sl_context_type,is_SL_partner_of_lost_TSG,lost_TSG_partner,sc_malignant_specificity,sc_tme_dominated_flag,sc_malignant_mean,sc_measured,sc_compartment,sc_specificity_tier,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_gbm_median_log2tpm,safety_composite,safety_vital_organ,safety_brain_bulk,safety_brain_neuron,gtex_brain_max,lake_neuron_max,cns_high_risk,vital_high_risk,min_subgroup_n,tractability_score,novelty_score,has_inhibitor_moa,chembl_action_types,chembl_n_potent,dgidb_n_drugs,ot_drug_count,ot_sm_approved_drug,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite,expert_composite,novelty_tier,novelty_corrected,is_dependency_poscontrol,rank_full,sl_effect_v1,sl_n_contexts_v1,sl_expr_partner,sl_expr_cohens_d,sl_expr_reported,expert_composite_v1,sl_source,rank_all,is_gbm_oncogene_control
KIF18B,-0.7284770388636128,-0.8183497716713803,0.0006026613988927,0.5694444444444444,0.3259762308998302,False,pan-glioma-dep,0.3250894726753285,2,CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B,0.0023674439849651,False,0.024039095995835,True,tumor-cell-expressed,not-TME-dominated-weak,5.6927,0.9934640522875816,2.5213,0.96113074204947,0.96113074204947,0.9646643109540636,0.9575971731448764,0.495728,0.0028289601612464,False,False,41,0.0,1.0,False,,0,0,0,False,False,False,False,,0.9363957597173144,0.5694444444444444,0.6740237691001698,0.21193587822128349,0.5,0.7410071942446043,1.0,0.9929328621908128,0.9934640522875816,0.96113074204947,0.0,1.0,0.7529201020808793,0.6740237691001698,0.35596793911064173,0.8705035971223021,0.9931984572391972,0.96113074204947,0.0,0.6582492295289514,0.625356232366852,novel,1.0,False,10,0.3250894726753285,2,,0.0,,0.625356232366852,genotype,11,False
FGFR1,-0.3418583821363125,-0.7518928867898877,0.000583180703672,0.2777777777777778,0.0933786078098472,False,subset-dep,0.0,0,,,False,,0.0219149530842289,False,0.1930029452224043,True,tumor-cell-expressed,not-TME-dominated-weak,0.98815,0.5882352941176471,5.4555,0.1648998822143698,0.2826855123674912,0.1554770318021201,0.0565371024734981,121.999,0.3496192383536923,True,False,20,1.0,0.0,True,INHIBITOR,5414,136,26,True,True,True,True,"Cell membrane;Nucleus;Cytoplasm, cytosol",0.9187279151943464,0.2777777777777778,0.9066213921901528,0.0,0.0,0.8812949640287769,1.0,0.3957597173144876,0.5882352941176471,0.1648998822143698,1.0,0.0,0.5982528464860621,0.9066213921901528,0.0,0.9406474820143884,0.4919975057160674,0.1648998822143698,1.0,0.5860598726601486,0.6244715680383143,approved_sm_drug,0.0,True,11,0.0,0,,0.0,,0.6244715680383143,none,12,True
CDC25B,-0.4701731769248867,-0.6751937536941661,0.0009101535312802,0.3888888888888889,0.1952461799660441,False,subset-dep,0.0,0,,,False,,0.0076700035182968,False,0.1319291234189827,True,tumor-cell-expressed,not-TME-dominated-weak,1.06365,0.7189542483660131,5.575,0.1460541813898704,0.1448763250883392,0.1060070671378091,0.1872791519434629,143.63299999999998,0.2170127009193319,False,False,28,1.0,1.0,False,,80,21,0,False,False,True,False,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome;Cytoplasm, cytoskeleton, spindle pole",0.8869257950530035,0.3888888888888889,0.8047538200339559,0.0,0.0,0.7661870503597122,1.0,0.4381625441696113,0.7189542483660131,0.1460541813898704,1.0,1.0,0.6379073419709462,0.8047538200339559,0.0,0.8830935251798562,0.5785583962678122,0.1460541813898704,1.0,0.5786238949774916,0.6131193269544546,has_sm_chemistry,0.5,False,12,0.0,0,,0.0,,0.6131193269544547,none,13,False
EGLN1,-0.292897545124349,-0.5203413859882605,0.0029887649290777,0.2777777777777778,0.1179966044142614,False,subset-dep,0.0,0,,,False,,-0.0668437106051282,False,0.130432626934862,True,tumor-cell-expressed,not-TME-dominated-weak,1.1214500000000005,0.8431372549019608,4.5856,0.4935217903415783,0.6607773851590106,0.519434628975265,0.3003533568904594,29.5459,0.1688736901618454,False,False,20,1.0,0.0,True,INHIBITOR,1773,15,5,True,False,True,False,Cytoplasm;Nucleus,0.6678445229681979,0.2777777777777778,0.8820033955857386,0.0,0.0,0.3453237410071942,1.0,0.4734982332155477,0.8431372549019608,0.4935217903415783,1.0,0.0,0.4728111503729878,0.8820033955857386,0.0,0.6726618705035972,0.6583177440587542,0.4935217903415783,1.0,0.5970451358375223,0.6115329499754478,approved_sm_drug,0.0,False,13,0.0,0,,0.0,,0.6115329499754479,none,14,False
PTK2,-0.8399534667162262,-0.7824314549369636,6.566983416906726e-06,0.75,0.4949066213921901,False,pan-glioma-dep,1.159,3,CDKN2A_del,TSG-loss,True,CDKN2A;CDKN2B,-0.4138693298925386,True,0.1507255451821378,True,TME-dominated,TME-dominated,0.1297500000000004,0.3202614379084967,5.6218,0.3792697290930507,0.6113074204946997,0.5265017667844523,0.0,28.6309,1.1224633151298726,True,False,54,1.0,0.0,True,INHIBITOR,1925,31,7,False,True,True,True,"Cell junction, focal adhesion;Cell membrane;Cytoplasm, perinuclear region",0.9293286219081272,0.75,0.5050933786078099,0.7555879334911144,0.75,0.0863309352517985,0.0,0.0742049469964664,0.3202614379084967,0.3792697290930507,1.0,0.0,0.8396643109540636,0.5050933786078099,0.7527939667455572,0.04316546762589925,0.19723319245248155,0.3792697290930507,1.0,0.4740350240421089,0.6068384111895366,has_sm_chemistry,0.5,False,21,0.3184972111605185,2,PTK2B,1.159,partial,0.5589614259274447,expression_paralog,15,False
KIF18A,-1.6780320022600173,-0.6203374674713164,3.136467534086684e-05,0.9722222222222222,0.8853989813242784,True,pan-glioma-dep,0.0,0,,,False,,-0.046648256235933,False,0.0228179544667327,True,tumor-cell-expressed,not-TME-dominated-weak,5.363300000000001,0.9934640522875816,1.3283,0.9587750294464076,0.9575971731448764,0.9752650176678446,0.9434628975265018,0.275843,0.004538727956035,False,False,70,0.6,1.0,False,,0,0,0,False,False,False,False,,0.8480565371024735,0.9722222222222222,0.1146010186757215,0.0,0.0,0.4028776978417266,1.0,0.9858657243816256,0.9934640522875816,0.9587750294464076,0.6,1.0,0.9101393796623478,0.1146010186757215,0.0,0.7014388489208633,0.9896648883346035,0.9587750294464076,0.6,0.610659880719992,0.5965494535788795,novel,1.0,False,14,0.0,0,,0.0,,0.5965494535788795,none,16,False
AMY2A,-0.4291119563578401,-0.4176172601805924,0.0046047910445705,0.3472222222222222,0.2020373514431239,False,subset-dep,0.0,0,,,False,,-0.001821519630752,False,0.000614531223838,True,tumor-cell-expressed,not-TME-dominated-weak,-5.1895,0.0,-4.2934,0.9434628975265018,0.9681978798586572,0.939929328621908,0.92226148409894,2.32235,0.0144719045134447,False,False,25,1.0,0.0,True,INHIBITOR,19,2,1,False,False,True,False,"Secreted, extracellular space",0.3356890459363957,0.3472222222222222,0.797962648556876,0.0,0.0,0.6942446043165468,1.0,0.0035335689045936,0.0,0.9434628975265018,1.0,0.0,0.34145563407930896,0.797962648556876,0.0,0.8471223021582734,0.0017667844522968,0.9434628975265018,1.0,0.5616814666818939,0.5921053047715229,has_sm_chemistry,0.5,False,15,0.0,0,,0.0,,0.5921053047715229,none,17,False
LMNA,-0.653580163849344,-1.323874797709614,2.74890918259083e-07,0.5972222222222222,0.2147707979626485,False,pan-glioma-dep,0.3666293648499845,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B,-0.3507789417272543,True,0.4277314922714454,True,TME-dominated,TME-dominated,2.1386000000000003,0.9477124183006536,6.5137,0.4628975265017668,0.127208480565371,0.6007067137809188,0.6607773851590106,24.7087,0.0747533175785201,False,False,43,0.45,0.0,False,,1,3,0,False,False,False,False,"Nucleus lamina;Nucleus envelope;Nucleus, nucleoplasm",0.9964664310954064,0.5972222222222222,0.7852292020373515,0.2390170182434509,0.75,0.1151079136690647,0.0,0.8975265017667845,0.9477124183006536,0.4628975265017668,0.45,0.0,0.7968443266588143,0.7852292020373515,0.49450850912172545,0.05755395683453235,0.922619460033719,0.4628975265017668,0.45,0.5670932830268443,0.5903869164938167,novel,1.0,False,16,0.3666293648499845,3,,0.0,,0.5903869164938166,genotype,18,False
WDR77,-1.5085376413618898,-0.3935069661982353,0.0325599488208011,1.0,0.9906621392190152,True,pan-glioma-dep,0.8697844227749637,3,MTAP_del,passenger-del(PRMT5-axis),True,CDKN2A;CDKN2B,0.0150260654290606,False,0.1022788264890516,True,tumor-cell-expressed,not-TME-dominated-weak,1.7575500000000002,0.9869281045751634,4.9695,0.7550058892815077,0.558303886925795,0.7385159010600706,0.9681978798586572,16.3433,0.0020194177573544,False,False,72,0.6,1.0,False,,0,0,0,False,False,False,False,,0.254416961130742,1.0,0.0093378607809847,0.5670393568484009,0.75,0.8345323741007195,1.0,0.8162544169611308,0.9869281045751634,0.7550058892815077,0.6,1.0,0.627208480565371,0.0093378607809847,0.6585196784242004,0.9172661870503598,0.9015912607681471,0.7550058892815077,0.6,0.6384184795529386,0.5818445872302611,novel,1.0,False,17,0.8697844227749637,3,,0.0,,0.5818445872302611,genotype,19,False
FERMT2,-1.0813017039280832,-0.9849211235687436,2.600354556234335e-10,0.875,0.4677419354838709,False,pan-glioma-dep,0.374658117909724,1,PTEN_loss,TSG-loss,True,PTEN,-0.1751169905876933,False,0.2662250056262559,True,tumor-cell-expressed,not-TME-dominated-weak,1.6955,0.934640522875817,5.8846,0.4770318021201413,0.2120141342756183,0.5229681978798586,0.6961130742049471,29.2531,0.0691348517864612,False,False,63,0.25,1.0,False,,0,0,0,False,False,False,False,,0.978798586572438,0.875,0.5322580645161291,0.2442512105928202,0.25,0.2050359712230215,1.0,0.7703180212014135,0.934640522875817,0.4770318021201413,0.25,1.0,0.926899293286219,0.5322580645161291,0.2471256052964101,0.6025179856115107,0.8524792720386152,0.4770318021201413,0.25,0.5554731461241466,0.5711116983515513,novel,1.0,False,18,0.374658117909724,1,,0.0,,0.5711116983515512,genotype,20,False
