gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction
A1BG,-0.07479007786289503,-0.07657908866778994,0.0017890108048949083,0.01756970480344503,0.15619000054641274,0.8762650943360891,0.9394167457305543,False,0.0008488964346349745,0.0
A1CF,-0.061143611256223335,-0.07965056109565456,0.018506949839431228,0.17562804166844362,1.3005908364440448,0.19720583802507324,0.42237176258902714,False,0.003395585738539898,0.0
A2M,0.042485312143731864,0.04010001287876344,0.0023852992649684227,0.024816726422220495,0.2147069474485969,0.8305306090628218,0.9196045462477929,False,0.0,0.0
A2ML1,0.08089771447785593,0.06780522775700755,0.013092486720848381,0.13348001189668984,1.0865226973686364,0.280498537292501,0.5189099644915949,False,0.0,0.0
A3GALT2,-0.13718960725867158,-0.10542205532286429,-0.031767551935807284,-0.2621974677527438,-2.5382187674514842,0.012964882805201803,0.07844607914150473,False,0.003395585738539898,0.0
A4GALT,-0.0638791233135977,-0.07195278395022468,0.008073660636626984,0.0731417920876336,0.7052855560901506,0.48256365817742286,0.7015666330762464,False,0.001697792869269949,0.0
A4GNT,0.02109952309280822,0.03239800725473297,-0.011298484161924749,-0.11300606270045774,-0.8203770196944377,0.41449749973049715,0.6461298534896326,False,0.0,0.0
AAAS,-0.17477909248952278,-0.12014688071508066,-0.05463221177444212,-0.2839456451393477,-1.8424863128633127,0.0692800381179106,0.22571761464275075,False,0.04499151103565365,0.09722222222222222
AACS,-0.03349693814919576,-0.027025341339860842,-0.006471596809334915,-0.05469213752620105,-0.5298849507902432,0.5975725649063642,0.7846178140610056,False,0.0025466893039049238,0.0
AADAC,0.12849638202831076,0.10985289822372284,0.018643483804587926,0.17694970346126335,1.4238281279017317,0.15838234032089155,0.37165396322057537,False,0.0,0.0
AADACL2,-0.038381730153183656,-0.03420171865718444,-0.004180011495999218,-0.04330530788482755,-0.43949497222211503,0.6613965784468746,0.8247202881023249,False,0.0,0.0
AADACL3,0.07680213640106306,0.07624833581253417,0.0005538005885288994,0.0052937036065727324,0.050303074152927355,0.9599997318967004,0.9818664837963855,False,0.0,0.0
AADACL4,0.002477805963961439,-0.0036529648035526397,0.006130770767514079,0.0708606582355391,0.5116784209940493,0.6103211211345134,0.7922584666176695,False,0.0,0.0
AADAT,-0.08481010078959797,-0.055414534811928616,-0.029395565977669354,-0.2915975449525103,-2.256916792553564,0.026766231514170995,0.12540371438490783,False,0.0025466893039049238,0.0
AAGAB,0.054291506851885135,0.013892246878171137,0.040399259973714,0.3255633745912412,3.483231971717135,0.0007710354832135193,0.011746018517069412,False,0.004244482173174873,0.0
AAK1,-0.17421077135686172,-0.13193456919032112,-0.0422762021665406,-0.3634484522163822,-3.162573146674368,0.0021940332720438074,0.024174846311154276,False,0.004244482173174873,0.0
AAMDC,-0.034651831994716636,-0.034929138531683036,0.0002773065369663999,0.002834200214776561,0.02670252920818105,0.9787602344496784,0.989702606642221,False,0.0008488964346349745,0.0
AAMP,-1.1597738984266772,-1.1787819319247417,0.01900803349806446,0.07038104838782198,0.6475740601183865,0.5190388868707739,0.7282289334980281,True,0.9889643463497453,0.9861111111111112
AANAT,-0.07876713542655306,-0.07818456493917293,-0.0005825704873801268,-0.005247414387532936,-0.04197142547208397,0.9666261474572829,0.9848768231258349,False,0.004244482173174873,0.013888888888888888
AAR2,-0.025281680420463203,-0.0350544278570035,0.009772747436540299,0.07761065804646336,0.7859256494844857,0.4340560690456766,0.6633016490124823,False,0.005942275042444821,0.0
AARD,-0.0667408635944829,-0.10961348639358469,0.042872622799101784,0.3348234498483057,3.5313643573030884,0.0006598313049688382,0.01054552868851178,False,0.003395585738539898,0.0
AARS1,-2.0986672942695197,-2.0052168019575034,-0.0934504923120163,-0.27535882841252823,-2.6232226798368083,0.010332765745223411,0.06795955620096278,True,1.0,1.0
AARS2,-0.38786500753266456,-0.46407356475748923,0.07620855722482467,0.27679284986360003,2.2905199044811693,0.02460200041024046,0.11893400953855048,False,0.40407470288624786,0.2916666666666667
