,sc_malignant_mean,sc_tme_max_mean,sc_tme_max_type,sc_tme_mean,sc_pct_malignant_expressing,sc_malignant_specificity,sc_tme_dominated_flag,sc_neoplastic_mean,sc_nonneoplastic_mean,sc_malignant_vs_tme_collapsed,sc_measured
PAK1IP1,0.15359210434375095,0.19072345554255318,radial glial cell,0.07721486443577598,0.26975949059370613,-0.03713135119880223,False,0.1535920660553586,0.06536017770501006,0.08823188835034855,True
RPS21,1.573495097492425,2.708068662981652,radial glial cell,1.7005352734476789,0.9037099771802292,-1.134573565489227,True,1.5734963543403608,1.7331950577385296,-0.15969870339816872,True
ALG2,0.0869541770387089,0.15717363733740897,dendritic cell,0.07618069578207383,0.17323421240423145,-0.07021946029870006,False,0.08695419810396193,0.07664049044923976,0.01031370765472217,True
ARPC2,0.7269133143408871,1.6237486370503542,natural killer cell,1.0953605892665679,0.7005434399040158,-0.8968353227094671,True,0.7269136156598219,1.2599579871237734,-0.5330443714639514,True
ACTR3,0.39489536807553927,0.7272023160299308,dendritic cell,0.5246384894570968,0.5143780240117314,-0.33230694795439153,True,0.3948947539879839,0.5744469923265045,-0.17955223833852063,True
PTPN11,0.17977176474763584,0.2771364647688253,oligodendrocyte,0.10157343322051816,0.30480469883391753,-0.09736470002118947,False,0.17977188392981558,0.08808716558947703,0.09168471834033855,True
SLC35B2,0.1715442953242411,0.1798274762049173,oligodendrocyte,0.0742130154765722,0.2973941546882474,-0.0082831808806762,False,0.17154443652706078,0.07128774111227851,0.10025669541478227,True
COPA,0.23985109788519812,0.44704876529818,oligodendrocyte,0.19295905609963573,0.3764164333717584,-0.20719766741298187,False,0.2398512118043365,0.19910174428408103,0.04074946752025546,True
CDC42,0.6413012148141665,1.0481742242336105,monocyte,0.7336611606646436,0.6682193521067118,-0.40687300941944404,True,0.6413011420252759,0.7727724483650844,-0.13147130633980852,True
NARS1,0.3650816924783952,0.3392460986824735,mural cell,0.21024438364002684,0.49111910979368106,0.025835593795921707,False,0.3650813172347625,0.20335930410952982,0.16172201312523268,True
PSTK,0.04563019431682209,0.06444249625638093,oligodendrocyte,0.021432893628740915,0.09997569027846394,-0.018812301939558844,False,0.04563021573543739,0.018330084340062842,0.02730013139537455,True
NOP2,0.05093681663229192,0.06031374351009415,mature T cell,0.033535541605206616,0.11131499909818775,-0.009376926877802227,False,0.050936850436816075,0.04192926570054555,0.009007584736270523,True
