,malignant cell,macrophage,mural cell,dendritic cell,microglial cell,monocyte,oligodendrocyte,endothelial cell,mature T cell,oligodendrocyte precursor cell,mast cell,B cell,plasma cell,natural killer cell,astrocyte,radial glial cell,neuron
PDCL3,0.14213294977899515,0.1251467047618432,0.1640821777294654,0.21438853974235206,0.09269748087284148,0.14923651402909865,0.13118914321546093,0.10424591811238214,0.23528734583089814,0.07326860293265312,0.16934177431280428,0.09882352828979492,0.0685030515533644,0.1571591239034914,0.09394178500754295,0.2110423349510277,0.03364263474941254
BRAT1,0.13899837858104558,0.05129233646639298,0.05183351603146164,0.05554440520502527,0.055466031833008876,0.050701651789544125,0.04937247271129369,0.06072355307539009,0.0524125560929448,0.13626141822145832,0.04234950264401474,0.030016461515426637,0.025739172799187107,0.10128302976950052,0.044345267246224285,0.00362525068656125,0.3868353993377902
FAM50A,0.23970080123299672,0.22940742924663696,0.2219227784443305,0.20243252766791453,0.21598117136562267,0.2543290996987594,0.36861118150152805,0.17590686027929298,0.19920412525662337,0.20642537888019316,0.20647449867335466,0.10078824272155762,0.09792131151665341,0.2335666740884164,0.14348814804429952,0.005520923736684043,0.24151919917626816
HAUS3,0.04884267683546916,0.02996222786921009,0.03500820816151682,0.03316298358159305,0.032693754567514756,0.02750170635917092,0.04202628596051936,0.027980357364240763,0.10447450768379206,0.05871361806508033,0.02477711479082184,0.021946264362335204,0.02204364960218643,0.05364786327340221,0.02107691764831543,0.009671914936343588,0.05199983851476149
KIF18A,0.022817954466732765,0.0058560543113029846,0.015556907578146845,0.0047016071206924135,0.002833550720551894,0.002665293172677973,0.003772665011883737,0.0028444427172106762,0.010327546253380468,0.008042343681858431,0.0012739688237934266,0.002241520595550537,0.0024548494940871126,0.01862802135269055,0.009122947736971641,0.06946621070266577,0.010025405070998451
SYS1,0.11355000429904814,0.11374133426923842,0.09123647246609622,0.14120779751346918,0.11535464737447641,0.11292982384054082,0.1370857517819175,0.04751576968146291,0.14099874883065683,0.0975657711105962,0.040478917293190635,0.15457608985900878,0.042060005081283464,0.11888018865909093,0.10302520487349846,0.08543110590283455,0.09512017260898244
POP7,0.33620752684683264,0.08824778685381163,0.14830837927348858,0.08144408152940688,0.07739294551669373,0.06948841821547759,0.1897180885346346,0.13186441231269894,0.08832170649670051,0.24024143502596887,0.07318902063625428,0.05569335486292839,0.11415911846227579,0.12081548675757041,0.1704178304341487,0.075822034599223,0.21776305545460095
SNRPB2,0.6523119835086986,0.35648534091012607,0.5195593206771506,0.3991836509569761,0.38053885482520955,0.3485375584492665,0.504152807590719,0.4611899487862438,0.42059494009203735,0.2281955038347552,0.3385308853103392,0.35166895656585695,0.21110685820971337,0.46692790004229057,0.1618653639203551,0.8153009824169448,0.1304288790984587
SEC62,0.8387493743691272,0.5505576113604367,0.6241190038379728,0.4814338218199728,0.553583616696012,0.5193685790580886,1.1402459115365426,0.8189233592856692,0.5007423615177472,0.5308158654839762,0.5515996329586244,0.6181729174613952,0.8899164599972171,0.4160429819274878,0.5934302772400696,0.6907478616717907,0.6244186921553179
LYRM4,0.16350232626469502,0.1106896751016748,0.11397320851788702,0.16111420749173386,0.13330854414011373,0.07066267956489834,0.08227429419753547,0.09437145272831683,0.09583838283878335,0.16784778285411098,0.08229195128816702,0.13801258430480956,0.06836818721327749,0.129592388401361,0.11700717079846155,0.22135598472335138,0.12570790015161037
C19orf53,0.7787197468134418,0.5086375956688685,0.4840614240831986,0.6029421188289004,0.49907568281520587,0.491403901740526,0.6123868267406839,0.47144840128531607,0.5977304115058473,0.32909048276562847,0.4933477662523694,0.5872284058570861,0.4821996765953678,0.6769907311676687,0.36480324254559643,0.7384833176661778,0.38510915637016296
TAF1C,0.05906142475960785,0.03812118947737997,0.06619030254011599,0.01904268546617263,0.029666238541988414,0.028858194672386286,0.04336140753892205,0.14485753428351472,0.020878603946297623,0.13448382259136246,0.022200466800311295,0.01782717876434326,0.021079642216225603,0.024168269839714023,0.0828682466738486,0.004606591246286915,0.20090489157221533
SBDS,0.6545866338812631,0.25027349450955055,0.6700036498824363,0.21390153795322725,0.23086743357019385,0.18139743204482459,0.8456458765271668,0.49557721809681954,0.31295291530744757,0.6312741163757539,0.26906017659496684,0.27417763710021975,0.2744092144645177,0.22691272204542026,0.5783771338490392,0.061159298317603125,0.5968634540384467
INTS12,0.10545815133867854,0.03988827458111871,0.0665467761887818,0.045609502562426824,0.040595300765480374,0.03204604105927598,0.058911153687736216,0.051976113227288755,0.04967099212529281,0.1951304448828582,0.03276622375278626,0.03968140633702278,0.027625510846818243,0.05361599993303436,0.06720314997469069,0.08866562247063964,0.1500384590842507
DDX51,0.053721830913548756,0.01689889518982272,0.02165821443702001,0.02471641406541038,0.021258129440401865,0.022419613887003264,0.04880948684582505,0.017872650060044355,0.01498713644531185,0.07727902827243652,0.009609533978211656,0.019051538199186323,0.033490913132062324,0.02306050311230713,0.009095644928256557,0.01902033819670689,0.14520380442792719
DDX55,0.08546167185517052,0.03685197987523542,0.07224114245520996,0.033911084021260356,0.03562997533434956,0.03147112708506012,0.050444599905129416,0.054168087235177256,0.04523741126528473,0.0635371984493348,0.0177409246204366,0.027789920216798783,0.018614686296119558,0.04646528836425024,0.04208086198464984,0.07603380015026347,0.11469832138920372
PRKRA,0.22619065061763013,0.09478717658815126,0.20131443838138338,0.13810621876513166,0.09612182160792943,0.08206735547897978,0.21468948085341885,0.11158157245188198,0.08474756522392825,0.29162828600214374,0.11450627062659481,0.08591134495735168,0.09478792094892555,0.08374364211311203,0.16106103817162487,0.028833559326400186,0.4096136066046628
PREB,0.1204146912990853,0.07289622032549156,0.10899860770224852,0.07839613284645765,0.06259888859547343,0.06488077470294364,0.1099089665793425,0.07249687986246367,0.0692863315522373,0.20791598481516685,0.05174086704330853,0.043455138063430786,0.11292947417164183,0.07289507821076555,0.12012555006611554,0.0066402932694682795,0.3367357768795707
TAF1A,0.033202082840683496,0.013181198948588015,0.018512722572419472,0.008891910412371144,0.016520281248607462,0.010020116767202344,0.01737982076231213,0.01084145434189693,0.012619143773107798,0.037188669306135944,0.010897324168330542,0.017241501140594483,0.0030137918941624516,0.010291061388435685,0.02824007362299572,0.05132322473631323,0.02035723313350569
CCT4,0.4691889452902107,0.3211890373301115,0.4505536238464549,0.35298388066300235,0.3201561735207119,0.2900782250033019,0.45345193779475224,0.37172542116085805,0.3818329604513921,0.39342227554129017,0.309052857572847,0.2974291082382202,0.19441181744312072,0.3561958815017921,0.31010457270407266,0.17767343442126615,0.6639158400622281
HSCB,0.08862435687264256,0.07390597677247995,0.045531536506328664,0.0914897370657455,0.07825859340370618,0.06090731291841379,0.053424356381257615,0.05065995990610052,0.04015117194554697,0.06072237039165151,0.05272725344343415,0.05594382727742195,0.08596816106692895,0.0810223545425625,0.12293462532793166,0.08392484560953921,0.02271606434475292
EIF3B,0.258611539714991,0.08302988428696217,0.12384602705959877,0.11011310103444613,0.07016182088707279,0.14008599604429847,0.14174613088438617,0.13367397749428409,0.062136876411064655,0.23818031698465347,0.06594350286846826,0.05764582509994507,0.06376639714503622,0.12170950182952667,0.13482439931417475,0.03442822037364904,0.22132072936404834
