,tcga_gbm_median_log2tpm,gtex_brain_median_log2tpm,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_vs_normal_p,tcga_vs_normal_fdr
WDR77,4.9695,3.21195,1.7575500000000002,0.9869281045751634,1.8060555611824036e-86,2.7152592694529585e-85
ELMO2,5.5012,5.1553,0.34589999999999943,0.40522875816993464,4.404488410707213e-06,4.850078677938293e-06
NVL,3.9765,3.1749,0.8016000000000001,0.6862745098039216,2.393423704815772e-21,2.9707846862406294e-21
CLNS1A,7.2738,5.7203,1.5534999999999997,0.9869281045751634,1.6822649027502e-85,1.9043238699132264e-84
HSCB,4.3702,3.2481,1.1220999999999997,0.9215686274509803,1.8214165622121953e-70,4.909151305771916e-70
RRP12,3.3076,3.4609,-0.1533000000000002,0.0915032679738562,0.020428690304528145,0.021333281757127176
CSH2,-9.9658,-9.9658,0.0,0.0392156862745098,5.261337036946901e-09,5.8852109938971265e-09
FAM50A,6.1347,5.6456,0.48909999999999965,0.46405228758169936,8.487376497130125e-15,1.0049906061455336e-14
ZNF593,3.5098,2.3019,1.2079,0.954248366013072,7.18522235110051e-74,2.284739241979151e-73
NUP35,3.9431,2.04125,1.90185,0.9869281045751634,1.0485761806471328e-80,5.2060887565462915e-80
NOLC1,4.8375,4.4376999999999995,0.3998000000000008,0.39869281045751637,1.7672520496356736e-07,1.9690249214444708e-07
TLN1,6.8518,4.9502500000000005,1.9015499999999994,0.9084967320261438,4.551903921286985e-71,1.275434465073482e-70
DDX55,3.6589,3.1294,0.5295000000000001,0.477124183006536,8.062142553569404e-12,9.237191670688832e-12
EIF3B,6.577,4.92605,1.65095,0.9477124183006536,4.0915322692017754e-66,9.981927863656056e-66
PPP1CB,7.3511,5.308,2.0431,0.9803921568627451,3.534598948469657e-83,2.5648500061972125e-82
EAF1,3.9682,3.1385,0.8296999999999999,0.7450980392156863,4.09517307617565e-37,6.164542449775048e-37
RINT1,3.9346,2.5572999999999997,1.3773000000000004,0.9411764705882353,7.244219913654519e-45,1.2203060925977553e-44
TM2D2,5.5401,3.7992,1.7409,0.9934640522875817,1.9029066234986326e-85,1.9945280535189373e-84
WDR55,3.5887,2.8502,0.7384999999999997,0.738562091503268,1.409020017543847e-22,1.7722340665107054e-22
CCDC59,5.2079,3.95105,1.2568500000000005,0.9673202614379085,1.8402775723801094e-71,5.369057247253309e-71
PDCL3,4.6502,3.3471,1.3030999999999997,0.9607843137254902,1.2527873375136016e-74,4.122544378097085e-74
HNRNPH1,7.7608,6.62315,1.1376499999999998,0.7777777777777778,7.292773641073637e-30,1.0166773105536154e-29
NOL12,4.6938,3.9765,0.7173000000000003,0.673202614379085,3.5986563141175e-25,4.650318433311656e-25
CCT6A,7.5933,5.74525,1.8480499999999997,0.9869281045751634,1.1243011486207677e-82,7.084873851641703e-82
HSPA9,7.1185,6.247450000000001,0.8710499999999994,0.8235294117647058,2.015336276420253e-46,3.456607068042009e-46
SOD1,8.4154,8.38775,0.02764999999999951,0.1895424836601307,0.21679104216770917,0.21989915746760463
KRTAP21-1,-9.9658,-9.9658,0.0,0.026143790849673203,0.028734108408952373,0.029677929488078545
ZNHIT3,5.8118,5.31235,0.4994499999999995,0.6470588235294118,1.071325094186005e-31,1.5159250082731971e-31
DNAJA3,5.1903,4.2404,0.9498999999999995,0.8366013071895425,1.0513251310418226e-47,1.836574148671826e-47
INTS8,4.1236,3.6578,0.46579999999999977,0.3660130718954248,8.118939876082485e-11,9.227550140286518e-11
RNF4,5.2161,4.16075,1.0553499999999998,0.8169934640522876,2.0555728277613922e-40,3.1788366680681638e-40
TSEN34,5.7679,3.7773,1.9906000000000001,0.9934640522875817,4.655204598733386e-87,8.782819342943655e-86
HINFP,4.0824,3.8375000000000004,0.24489999999999945,0.16993464052287582,0.010056763673763947,0.010580164013662442
KIF2C,3.5947,-1.5951,5.1898,1.0,1.7071745363572503e-89,1.6104346459636727e-87
CDK2,4.9468,1.2992,3.6475999999999997,1.0,2.9168979368558827e-87,6.625958560888842e-86
NARS1,6.2634,5.52705,0.7363499999999998,0.6601307189542484,3.3315605366034835e-26,4.36496125860549e-26
RPL36,9.9672,8.46125,1.5059500000000003,0.9803921568627451,1.2127610651519528e-83,9.27598328210818e-83
CSE1L,5.3388,4.1429,1.1959,0.8758169934640523,2.9954539248535598e-58,6.187689494405529e-58
COPA,6.273,5.0680499999999995,1.2049500000000002,0.869281045751634,2.295582237655299e-56,4.543005407387759e-56
EIF3E,7.5101,6.161899999999999,1.3482000000000012,0.9673202614379085,1.9740867550555054e-58,4.1078422917699125e-58
NELFA,4.6944,3.90605,0.7883499999999999,0.7058823529411765,3.1045194931775884e-19,3.7386341130606703e-19
SPCS3,5.067,3.772,1.2950000000000004,0.934640522875817,1.7861211681039119e-65,4.283663479435653e-65
UBTF,5.5702,4.7418,0.8284000000000002,0.6862745098039216,2.352980428192045e-20,2.870230436113572e-20
PSMA1,-1.4305,-3.1714,1.7409000000000001,0.6928104575163399,3.6756467925138003e-25,4.728218374006389e-25
NELFCD,6.1237,4.9711,1.1526000000000005,0.9215686274509803,6.125767932133522e-44,1.0137966811659572e-43
INTS9,3.8054,2.3677,1.4377,0.9738562091503268,3.74355274069269e-77,1.3939808231789884e-76
SEC62,6.0266,5.6496,0.3769999999999998,0.5294117647058824,1.972165945535038e-14,2.315862915296331e-14
PSTK,2.6464,2.676,-0.029600000000000293,0.21568627450980393,0.9907093039034633,0.9907093039034633
CDC25B,5.575,4.51135,1.06365,0.7189542483660131,1.042366593019265e-24,1.3347952299748958e-24
RPS9,10.576,8.9971,1.5789000000000009,0.9934640522875817,1.6949549987074478e-81,9.224466627580919e-81
MED26,2.6067,1.3538999999999999,1.2528000000000001,0.9084967320261438,2.0660639986258126e-52,3.772232978136161e-52
SYS1,4.9924,3.1765,1.8159,0.9934640522875817,9.489591422586134e-87,1.6237230798116982e-85
UBE2C,5.9475,-2.5479,8.4954,1.0,3.5628298112364527e-90,5.041404182899581e-88
POLR1E,4.14,2.8013500000000002,1.3386499999999995,0.934640522875817,2.827212865630396e-71,8.164298377279613e-71
ARMC5,3.4102,2.9957000000000003,0.41449999999999987,0.35947712418300654,1.5534454555583197e-06,1.7240198585215863e-06
ANAPC4,3.7815,3.52745,0.2540499999999999,0.2222222222222222,0.0008217255082108694,0.0008808648440290759
BRCA1,2.8137,0.346,2.4677,0.9803921568627451,1.2173411466243774e-78,5.066287419039688e-78
ITGAV,5.6381,3.6928,1.9452999999999996,0.9607843137254902,3.7708989682135834e-78,1.5245205828634916e-77
SOCS3,5.0423,1.78275,3.25955,0.803921568627451,6.135138362956248e-48,1.0851525979478863e-47
MED31,4.6531,3.5559,1.0972000000000004,0.8888888888888888,3.472225755268807e-61,7.558768374931327e-61
SF3A2,5.7057,4.3751,1.3306000000000004,0.8562091503267973,6.367632676077395e-34,9.434764645706296e-34
CHMP2A,7.8322,6.6741,1.1581000000000001,0.954248366013072,1.7506036248286955e-73,5.504675842516898e-73
PSMB7,7.6737,6.60225,1.0714500000000005,0.9477124183006536,7.284295608560422e-75,2.425241949673646e-74
ARPC2,7.8394,6.4701,1.3693,0.9803921568627451,1.3391198035859375e-80,6.53398111060035e-80
TBCB,8.4144,7.5278,0.8866000000000005,0.8627450980392157,1.531579431536101e-53,2.8895798608314436e-53
SCFD1,5.1607,4.7616,0.3991000000000007,0.5294117647058824,3.6512503506811635e-16,4.341612811944409e-16
TRAPPC11,3.7237,3.2796,0.44410000000000016,0.45098039215686275,1.918555885778344e-11,2.1893198212712554e-11
MED28,5.2017,3.4810499999999998,1.72065,0.9803921568627451,7.865677806393313e-84,6.1832967200258555e-83
DDX10,3.9041,3.453,0.4511000000000003,0.2875816993464052,1.1925881209115414e-10,1.3500097528718648e-10
NUP155,2.9637,1.0779,1.8857999999999997,0.9738562091503268,9.151149759331911e-76,3.1972535578900385e-75
SNAPC5,5.218,4.949999999999999,0.2680000000000007,0.23529411764705882,1.7407948513437747e-06,1.9243943083214383e-06
ALG2,4.497,2.9581,1.5389,0.9607843137254902,3.718912843705965e-67,9.232038024287616e-67
HJV,-6.5064,-3.816,-2.6904000000000003,0.0196078431372549,5.170245918269374e-30,7.243463340941747e-30
RANBP3,5.6868,4.85525,0.83155,0.803921568627451,8.339569748345145e-41,1.3111656882120422e-40
PREB,5.729,4.4993,1.2297000000000002,0.9803921568627451,2.4996201325167853e-64,5.7511585162784576e-64
SLC35B2,5.8652,3.74,2.1251999999999995,0.9934640522875817,6.698848945218215e-86,8.617155688621613e-85
VRK1,3.3869,2.7084,0.6784999999999997,0.6666666666666666,8.570934302304863e-28,1.1441388714869228e-27
GGPS1,5.1173,3.9859999999999998,1.1313000000000004,0.954248366013072,4.542369438925087e-72,1.3531479486482102e-71
MIS18BP1,2.6693,0.8726,1.7966999999999997,0.9411764705882353,3.2363385227759767e-72,9.848212924146253e-72
MED11,4.9213,3.5808999999999997,1.3403999999999998,0.9738562091503268,3.9385687834465397e-79,1.663604426440852e-78
LYRM4,5.0514,3.7635500000000004,1.2878499999999997,0.9673202614379085,8.168718585970226e-80,3.669440253697737e-79
NOC3L,2.5876,1.3051,1.2825000000000002,0.9673202614379085,5.119866037269757e-68,1.3053352149075146e-67
PPAN,4.8832,4.0666,0.8166000000000002,0.6601307189542484,6.842637415267009e-28,9.177565822372339e-28
MLST8,6.0168,5.38685,0.62995,0.5359477124183006,5.332585011720627e-20,6.449237428704861e-20
MET,0.8408,-1.3183,2.1591,0.6274509803921569,1.0389978084413609e-26,1.3676110687856052e-26
PRKAR1A,6.5962,6.3488500000000005,0.24734999999999907,0.24183006535947713,0.001216044823806899,0.0012986440948579336
JUN,6.6645,4.998900000000001,1.6655999999999995,0.8431372549019608,3.2418768520815185e-48,5.80665284265234e-48
RAB1A,7.1836,6.1844,0.9992000000000001,0.9477124183006536,1.0031521136619211e-63,2.28945200134132e-63
MT1E,7.6061,7.172549999999999,0.4335500000000003,0.43137254901960786,1.697592792027294e-05,1.862088217611334e-05
XAB2,4.8963,4.27355,0.6227499999999999,0.6470588235294118,4.035897756421861e-20,4.901970236340715e-20
