,tcga_gbm_median_log2tpm,gtex_brain_median_log2tpm,tcga_vs_normal_log2fc,tcga_pct_over_normal,tcga_vs_normal_p,tcga_vs_normal_fdr
FERMT2,5.8846,4.1891,1.6955,0.934640522875817,3.5073419999188374e-69,9.276427906327391e-69
USP36,4.0713,3.944,0.12729999999999997,0.19607843137254902,0.4152715310648024,0.41972086889763954
PFDN5,9.8273,8.9375,0.8897999999999993,0.934640522875817,4.601356758675296e-62,1.0253417029174085e-61
ERCC6L,-0.2498,-4.6082,4.3584000000000005,0.9869281045751634,1.3676207863413944e-83,1.0185175856174068e-82
TCP1,6.9589,6.1914,0.7675000000000001,0.6601307189542484,2.902703495256883e-32,4.1488135816045353e-32
IMP3,6.0061,5.11275,0.8933499999999999,0.9150326797385621,1.8236697102276633e-67,4.567243610570166e-67
MTOR,4.382,4.05365,0.3283499999999995,0.35947712418300654,0.0002350378472477186,0.0002529114477988759
CLCC1,4.3463,3.33285,1.0134500000000002,0.8888888888888888,1.211733310677989e-59,2.578349826480232e-59
TEAD1,3.7475,1.9968,1.7507000000000001,0.8823529411764706,3.3099095562349954e-61,7.26127445282561e-61
FOXO3,3.7248,3.26245,0.46235000000000026,0.37254901960784315,0.00011112676875135231,0.00012142422994838882
LMNA,6.5137,4.3751,2.1386000000000003,0.9477124183006536,6.534951144623337e-72,1.926449139508754e-71
TIMM10,6.1877,4.9697499999999994,1.217950000000001,0.9738562091503268,7.385432656847201e-78,2.9028853359552195e-77
ARFRP1,4.9331,4.75015,0.18294999999999995,0.29411764705882354,0.000208383858194203,0.00022508638117923455
CHMP7,4.8223,3.8146500000000003,1.00765,0.7908496732026143,2.0767873477314782e-36,3.109686875174647e-36
SGO1,2.0147,-4.6082,6.6229,1.0,1.6966925984972127e-90,4.801640053747112e-88
UTP6,5.3772,4.88045,0.49675000000000047,0.5359477124183006,8.267245680463508e-17,9.913688676149037e-17
RPTOR,3.5887,3.0181,0.5705999999999998,0.5098039215686274,1.6536815868556506e-14,1.9499662045006212e-14
RAE1,5.1301,3.4823500000000003,1.6477499999999994,0.9803921568627451,2.9658609936469234e-68,7.630351465473448e-68
MAK16,3.1327,1.7075,1.4251999999999998,0.9477124183006536,3.5025330188392334e-72,1.054486004607982e-71
CCNK,4.4122,3.1556,1.2566000000000002,0.8562091503267973,7.69720779261187e-51,1.396352439300743e-50
CCT3,7.5109,6.03705,1.4738500000000005,0.9869281045751634,6.441017010269225e-78,2.5673349491636486e-77
TOP1,5.1926,3.7545,1.4380999999999995,0.8758169934640523,1.1979573935764607e-53,2.275315049544553e-53
PFDN1,6.4608,5.7494499999999995,0.7113500000000004,0.9281045751633987,1.327019896818079e-63,3.004373046396131e-63
TUBGCP6,3.6555,4.66085,-1.00535,0.0457516339869281,1.5273475304091948e-28,2.0780738033932796e-28
PFDN4,5.2304,4.6136,0.6168000000000005,0.6601307189542484,4.686904544257373e-29,6.407700415578921e-29
TMED2,6.9088,4.6259,2.2829000000000006,0.9934640522875817,1.2386810166253366e-87,3.8949636411663364e-86
TIMM22,3.5887,2.5375500000000004,1.0511499999999994,0.8496732026143791,2.6601196677425515e-59,5.618013925157777e-59
E2F3,2.9052,1.3397,1.5655,0.8104575163398693,2.1050658816745594e-55,4.052609826625172e-55
ZFP36L1,6.5192,4.7976,1.7215999999999996,0.869281045751634,5.075348842758304e-54,9.704890016895945e-54
WBP11,4.9275,3.8152,1.1123000000000003,0.8169934640522876,1.2518358594371293e-52,2.3154872432725987e-52
SNRPB2,6.0555,4.3064,1.7491000000000003,0.9869281045751634,1.1206323470242817e-85,1.3788650182950945e-84
FRS2,3.5559,2.5911999999999997,0.9647000000000001,0.7124183006535948,4.174798183605105e-34,6.218252031369709e-34
RRP1,4.3002,3.30755,0.9926500000000003,0.803921568627451,6.950122911369024e-47,1.1993199901935572e-46
RPS29,11.2259,9.8054,1.4204999999999988,0.9477124183006536,1.806958457300418e-74,5.877807395586416e-74
WDHD1,1.9377,-0.1504,2.0881,0.9019607843137255,1.1742504311481044e-65,2.8402809573924237e-65
RPS16,10.6853,8.969000000000001,1.7162999999999986,0.9934640522875817,1.2101367592305575e-84,1.0702146964445243e-83
INTS12,4.7945,3.0199,1.7746000000000004,0.9869281045751634,2.3537971343103565e-85,2.2969813414132098e-84
TARS1,5.6017,4.2362,1.3655,0.934640522875817,9.893285880625655e-65,2.294917954276279e-64
PDCD5,6.9491,6.3831500000000005,0.5659499999999991,0.7450980392156863,9.726388205896026e-39,1.4878745201451758e-38
SRSF2,7.2969,6.3154,0.9814999999999996,0.8823529411764706,1.1808459118196625e-45,2.001074209850087e-45
CHMP3,5.9846,5.33685,0.6477500000000003,0.6666666666666666,8.294907385993175e-26,1.0817782443484186e-25
LSM6,5.2227,3.8396,1.3830999999999998,0.9803921568627451,3.92116928722867e-71,1.1096909082857136e-70
CCT4,6.7953,5.4689499999999995,1.3263500000000006,0.9869281045751634,1.1218718055427346e-75,3.871825865470657e-75
NELFB,5.6491,4.88635,0.7627499999999996,0.7908496732026143,1.268175846605116e-43,2.0745304311517215e-43
POP7,6.0005,4.8868,1.1136999999999997,0.8888888888888888,4.155686244896744e-61,8.977551200807469e-61
ELAVL1,5.5333,3.44835,2.0849499999999996,0.9738562091503268,1.126570047080836e-82,7.084873851641703e-82
